R&D Spend,Administartion,Mrketing Spend,State,Profit
165616,165754,41479,New York,19683
165026,165062,54009,California,17942
165192,165584,43133,California,15659
165026,165738,51609,New York,19604
165264,165011,46877,California,22525
165193,165165,43990,California,21121
165478,165880,50919,California,24060
165732,165208,40310,California,21456
165292,165761,54439,New York,20967
165480,165878,52484,California,17102
165072,165912,41630,California,22923
165726,165436,41399,California,15643
165079,165271,41943,California,21197
165292,165800,51531,New York,16004
165263,165378,42778,California,22290
165073,165349,52486,California,16551
165930,165718,50574,New York,17180
